treeid,featureid,icon,lat,lon,Common name,Scientific name,Height class,Diameter at breast height,Age class,Canopy radius,Tree Asset Value, Scientific name,Additional taxonomy,Tree information
984,258379,014368,41.789739985,-87.60027812,Oak-Bur,,Medium,21.4 in.,Mature,20 ft.,"$10,111.26",Quercus macrocarpa,,
985,258380,014368,41.789723025,-87.600351112,Oak-Bur,,Medium,29.6 in.,Mature,30 ft.,"$19,344.66",Quercus macrocarpa,,
986,258381,014368,41.789783131,-87.600446486,Oak-Bur,,Medium,18.7 in.,Mature,25 ft.,"$7,720.77",Quercus macrocarpa,,
988,258382,014368,41.789733465,-87.600568096,Oak-Bur,,Large,27.5 in.,Mature,30 ft.,"$16,697.18",Quercus macrocarpa,,
989,258383,548931,41.789836783,-87.600630251,Oak-Swamp White,Quercus bicolor,Medium,"5.2 in., 4.8 in., 2.5 in.",Young,10 ft.,"$1,015.27",,,
990,258384,014368,41.789901266,-87.600566245,Oak-English,,Large,31.5 in.,Mature,20 ft.,"$13,148.27",Quercus robur,,
991,258385,014368,41.789803768,-87.600533867,Oak-Bur,,Medium,15 in.,Mature,20 ft.,"$3,548.40",Quercus macrocarpa,,
992,258386,014368,41.789862043,-87.600483173,Oak-Bur,,Large,29 in.,Mature,25 ft.,"$18,568.36",Quercus macrocarpa,,
993,258387,014368,41.789819785,-87.600388316,Oak-Bur,,Large,26.3 in.,Mature,35 ft.,"$6,545.04",Quercus macrocarpa,,
994,258388,014368,41.789942018,-87.600478816,Oak-Bur,,Large,29 in.,Mature,30 ft.,"$18,568.36",Quercus macrocarpa,,
995,258389,014368,41.789927802,-87.600428985,Oak-Bur,,Large,15 in.,Mature,20 ft.,"$3,548.40",Quercus macrocarpa,,
997,258390,014368,41.789948389,-87.600381669,Elm-American,,Large,36.7 in.,Mature,40 ft.,"$8,077.00",Ulmus americana,,
998,258391,014368,41.78987627,-87.600168601,Linden-American,,Large,34.5 in.,Mature,20 ft.,"$18,183.79",Tilia americana,,
999,258392,548931,41.789960745,-87.600126427,Oak-Swamp White,Quercus bicolor,Small,4.9 in.,Young,6 ft.,$605.85,,,
1000,258393,478ba3,41.78998686,-87.59998539,Oak-Bur,,Medium,14.5 in.,Semi-mature,15 ft.,"$4,642.09",Quercus macrocarpa,,
1001,258394,014368,41.789918443,-87.599943011,Oak-Bur,,Large,25.4 in.,Mature,25 ft.,"$14,244.43",Quercus macrocarpa,,
1002,258395,014368,41.789894678,-87.599826883,Linden-American,,Medium,14.8 in.,Mature,25 ft.,"$3,454.40",Tilia americana,,
1003,258396,014368,41.789931427,-87.599777742,Elm-American,,Large,34.4 in.,Mature,25 ft.,"$5,168.84",Ulmus americana,,
1004,258397,014368,41.789948506,-87.599560972,Honeylocust-Common,Gleditsia triacanthos,Large,22.5 in.,Mature,35 ft.,"$12,774.23",,,
1006,258398,014368,41.789823411,-87.599368155,Ash-Green,Fraxinus pennsylvanica,Medium,22.3 in.,Mature,20 ft.,"$7,842.59",,,
1008,258399,548931,41.789715473,-87.599226973,Oak-Swamp White,Quercus bicolor,Medium,10.9 in.,Young,10 ft.,"$2,997.94",,,
1009,258400,548931,41.789855536,-87.599227403,Oak-Swamp White,Quercus bicolor,Medium,7 in.,Young,10 ft.,"$1,236.42",,,
1011,258401,014368,41.789938665,-87.599062183,Oak-Northern Red,,Large,25.7 in.,Mature,20 ft.,"$10,416.36",Quercus rubra,,
1012,258402,014368,41.789882171,-87.598980257,Oak-English,,Large,30.8 in.,Mature,20 ft.,"$12,564.50",Quercus robur,,
1014,258403,014368,41.789795177,-87.599112781,Maple-Sugar,Acer saccharum,Medium,22.5 in.,Mature,25 ft.,"$12,774.23",,,
1017,258404,548931,41.789829535,-87.59890249,Maple-Red,Acer rubrum,Medium,8.8 in.,Young,10 ft.,"$1,046.81",,,
1018,258405,548931,41.789914394,-87.598927436,Oak-Bur,,Medium,7.8 in.,Young,10 ft.,"$1,343.28",Quercus macrocarpa,,
1019,258406,548931,41.789955733,-87.598829045,Oak-Bur,,Medium,14 in.,Young,15 ft.,"$4,327.47",Quercus macrocarpa,,
1020,258407,548931,41.789960821,-87.598706303,Oak-Swamp White,Quercus bicolor,Medium,8.1 in.,Young,10 ft.,"$1,655.54",,,
1021,258408,548931,41.789984105,-87.598589869,Oak-Northern Red,,Medium,8 in.,Young,10 ft.,"$1,413.05",Quercus rubra,,
1022,258409,548931,41.789989052,-87.598368588,Oak-Northern Red,,Medium,6.8 in.,Young,10 ft.,"$1,020.93",Quercus rubra,,
1023,258410,548931,41.7899313,-87.598514462,Oak-Black,Quercus velutina,Small,3.4 in.,Young,6 ft.,$156.26,,,
1024,258411,014368,41.789872883,-87.59865461,Honeylocust-Common,Gleditsia triacanthos,Large,21.2 in.,Mature,20 ft.,"$11,340.74",,,
1025,258412,014368,41.789839258,-87.598619501,Honeylocust-Common,Gleditsia triacanthos,Large,26.6 in.,Mature,25 ft.,"$17,853.89",,,
1026,258413,478ba3,41.789784712,-87.598691421,Oak-Swamp White,Quercus bicolor,Medium,11.2 in.,Semi-mature,15 ft.,"$3,165.23",,,
1027,258414,014368,41.7898008,-87.59876566,Oak-Bur,,Large,23.8 in.,Mature,25 ft.,"$12,506.38",Quercus macrocarpa,,
1028,258415,014368,41.789722609,-87.598743143,Oak-English,,Large,30.5 in.,Mature,25 ft.,"$17,237.61",Quercus robur,,
1029,258416,014368,41.789731774,-87.598653418,Honeylocust-Common,Gleditsia triacanthos,Large,27 in.,Mature,30 ft.,"$18,394.89",,,
1030,258417,014368,41.790036167,-87.598161825,Oak-English,,Medium,9.7 in.,Mature,8 ft.,"$1,780.63",Quercus robur,,
1031,258418,014368,41.790027334,-87.598195213,Oak-English,,Medium,9.4 in.,Mature,6 ft.,"$1,672.19",Quercus robur,,
1032,258419,014368,41.790025513,-87.598236947,Oak-English,,Medium,7.8 in.,Mature,6 ft.,"$1,151.38",Quercus robur,,
1034,258420,014368,41.789915001,-87.598257732,Lilac-Japanese Tree,,Medium,5.9 in.,Mature,6 ft.,$768.57,Syringa reticulata,,
1035,258421,014368,41.789850867,-87.598247235,Lilac-Japanese Tree,,Medium,7.2 in.,Mature,6 ft.,"$1,144.57",Syringa reticulata,,
1036,258422,014368,41.789811231,-87.59825291,Lilac-Japanese Tree,,Medium,5.9 in.,Mature,6 ft.,$768.57,Syringa reticulata,,
1037,258423,014368,41.789699962,-87.598100499,Oak-English,,Medium,11.2 in.,Mature,6 ft.,"$2,373.92",Quercus robur,,
1038,258424,014368,41.789744195,-87.598187604,Oak-English,,Medium,10 in.,Mature,6 ft.,"$1,892.48",Quercus robur,,
1039,258425,014368,41.789751395,-87.598252561,Oak-English,,Medium,10 in.,Mature,8 ft.,"$1,892.48",Quercus robur,,
1040,258426,548931,41.789708189,-87.598245009,Oak-English,,Medium,5.5 in.,Young,4 ft.,$572.47,Quercus robur,,
1041,258427,014368,41.789674811,-87.598249306,Oak-English,,Medium,10.5 in.,Mature,6 ft.,"$2,086.46",Quercus robur,,
1042,258428,014368,41.789545203,-87.598247924,Oak-English,,Medium,7.9 in.,Mature,6 ft.,"$1,181.10",Quercus robur,,
1043,258429,014368,41.78950855,-87.598218996,Oak-English,,Medium,10.8 in.,Mature,6 ft.,"$2,207.39",Quercus robur,,
1044,258430,014368,41.789471015,-87.598224937,Oak-English,,Medium,8 in.,Mature,6 ft.,"$1,211.19",Quercus robur,,
1045,258431,014368,41.789474134,-87.598127799,Oak-English,,Medium,9.3 in.,Mature,8 ft.,"$1,636.80",Quercus robur,,
1046,258432,014368,41.789467825,-87.598195619,Oak-English,,Medium,10.2 in.,Mature,10 ft.,"$1,968.93",Quercus robur,,
1047,258433,014368,41.789391111,-87.598239,Lilac-Japanese Tree,,Medium,5.8 in.,Mature,6 ft.,$742.73,Syringa reticulata,,
1048,258434,014368,41.78934708,-87.598235516,Lilac-Japanese Tree,,Medium,5.8 in.,Mature,6 ft.,$742.73,Syringa reticulata,,
1049,258435,548931,41.789269876,-87.598239342,Lilac-Japanese Tree,,Small,3.2 in.,Young,4 ft.,$226.09,Syringa reticulata,,
1050,258436,478ba3,41.789227422,-87.598234881,Lilac-Japanese Tree,,Medium,6.3 in.,Semi-mature,6 ft.,$876.31,Syringa reticulata,,
1051,258437,478ba3,41.789218649,-87.598168279,Oak-English,,Medium,7 in.,Semi-mature,6 ft.,$927.31,Quercus robur,,
1052,258438,478ba3,41.789204172,-87.59819844,Oak-English,,Medium,9.5 in.,Semi-mature,6 ft.,"$1,707.96",Quercus robur,,
1053,258439,478ba3,41.789201395,-87.598233019,Oak-English,,Medium,9.4 in.,Semi-mature,8 ft.,"$1,672.19",Quercus robur,,
1055,258440,014368,41.789317744,-87.598603289,Oak-Bur,,Medium,34 in.,Mature,35 ft.,"$24,805.44",Quercus macrocarpa,,
1056,258441,478ba3,41.78926692,-87.598680456,Oak-White,,Medium,13.7 in.,Semi-mature,15 ft.,"$5,327.99",Quercus alba,,
1057,258442,014368,41.789321439,-87.598661864,Oak-Bur,,Large,16.5 in.,Mature,20 ft.,"$6,010.98",Quercus macrocarpa,,
1058,258443,548931,41.789455233,-87.598617889,Oak-Black,Quercus velutina,Medium,4.2 in.,Young,6 ft.,$333.83,,,
1059,258444,014368,41.789505561,-87.59862869,Maple-Sugar,Acer saccharum,Medium,22 in.,Mature,25 ft.,"$12,212.79",,,
1060,258445,478ba3,41.789481803,-87.598718387,Oak-Northern Red,,Medium,9.5 in.,Semi-mature,15 ft.,"$1,992.62",Quercus rubra,,
1061,258446,478ba3,41.789449664,-87.598891421,Oak-Bur,,Medium,"6.2 in., 5.5 in.",Semi-mature,10 ft.,"$1,516.60",Quercus macrocarpa,,
1062,258447,014368,41.789407421,-87.598764785,Oak-Bur,,Medium,25.5 in.,Mature,30 ft.,"$14,356.81",Quercus macrocarpa,,
1063,258448,548931,41.789230697,-87.598807398,Oak-Swamp White,Quercus bicolor,Medium,5.2 in.,Young,8 ft.,$682.30,,,
1064,258449,548931,41.789219014,-87.598948891,Oak-Shingle,,Medium,5.8 in.,Young,10 ft.,$742.73,Quercus imbricaria,,
1066,258450,014368,41.789380767,-87.599128999,Oak-Bur,,Large,25 in.,Mature,30 ft.,"$13,799.32",Quercus macrocarpa,,
1067,258451,014368,41.789402151,-87.599006944,Oak-Bur,,Medium,19.4 in.,Mature,25 ft.,"$8,309.62",Quercus macrocarpa,,
1068,258452,014368,41.789474732,-87.599083234,Oak-Bur,,Medium,22.2 in.,Mature,35 ft.,"$7,772.41",Quercus macrocarpa,,
1069,258453,014368,41.789442091,-87.599134156,Oak-Bur,,Large,44 in.,Mature,40 ft.,"$36,947.44",Quercus macrocarpa,,
1070,258454,014368,41.789478031,-87.599239296,Oak-Northern Red,,Medium,19.5 in.,Mature,20 ft.,"$8,395.51",Quercus rubra,,
1073,258455,014368,41.789277728,-87.599441222,Oak-Bur,,Medium,23 in.,Mature,30 ft.,"$11,679.74",Quercus macrocarpa,,
1074,258456,014368,41.789187011,-87.599418003,Maple-Sugar,Acer saccharum,Medium,14 in.,Mature,15 ft.,"$4,945.68",,,
1075,258457,548931,41.789202544,-87.599493563,Oak-Swamp White,Quercus bicolor,Medium,8.5 in.,Young,10 ft.,"$1,823.09",,,
1077,258459,014368,41.789514938,-87.599478637,Maple-Red,Acer rubrum,Medium,17.2 in.,Mature,20 ft.,"$3,999.08",,,
1078,258460,478ba3,41.789669521,-87.599478794,Maple-Red,Acer rubrum,Medium,9.3 in.,Semi-mature,10 ft.,"$1,636.80",,,
1079,258461,478ba3,41.789733,-87.599581373,Maple-Red,Acer rubrum,Medium,11.8 in.,Semi-mature,15 ft.,"$2,635.09",,,
1080,258462,478ba3,41.789740612,-87.599757959,Maple-Red,Acer rubrum,Medium,12.7 in.,Semi-mature,10 ft.,"$3,052.38",,,
1081,258463,478ba3,41.789643813,-87.599861117,Maple-Red,Acer rubrum,Medium,15.5 in.,Semi-mature,15 ft.,"$4,546.68",,,
1082,258464,478ba3,41.789512582,-87.599865634,Maple-Red,Acer rubrum,Medium,17.2 in.,Semi-mature,15 ft.,"$5,598.71",,,
1083,258465,478ba3,41.789471393,-87.599750116,Maple-Red,Acer rubrum,Medium,14.8 in.,Semi-mature,15 ft.,"$2,960.92",,,
1085,258466,478ba3,41.789081991,-87.600419834,Hawthorn,Crataegus sp,Small,"2.8 in., 2.6 in., 2.5 in., 1.8 in., 1.4 in., 1.1 in.",Semi-mature,6 ft.,$859.82,,,
1086,258467,478ba3,41.789085739,-87.599869026,Burning Bush,Euonymus alatus,Small,"2.2 in., 2.2 in., 2.2 in., 1.9 in., 1.8 in., 1.5 in.",Semi-mature,6 ft.,"$2,086.02",,,
1087,258468,478ba3,41.78867529,-87.5992766,Hawthorn,Crataegus sp,Medium,"4.5 in., 2.2 in.",Semi-mature,6 ft.,$553.96,,,
1088,258469,478ba3,41.788662318,-87.599215737,Serviceberry,Amelanchier sp,Small,"2.2 in., 2 in., 1.5 in., 1.5 in., 1.4 in., 1.2 in.",Semi-mature,6 ft.,$739.20,,,
1090,258470,478ba3,41.788746846,-87.599279877,Dogwood-Corneliancherry,Cornus mas,Medium,"3.8 in., 3.2 in., 3.2 in.",Semi-mature,10 ft.,$881.14,,,
1093,258471,478ba3,41.789092414,-87.598430039,Lilac-Japanese Tree,,Medium,"2.8 in., 2.6 in., 2.4 in., 2.2 in., 2.2 in., 2 in.",Semi-mature,10 ft.,"$2,254.70",Syringa reticulata,,
1092,258472,478ba3,41.788894347,-87.598589705,Burning Bush,Euonymus alatus,Small,"2 in., 2 in., 1.8 in., 1.6 in.",Semi-mature,6 ft.,$609.38,,,
1094,258473,478ba3,41.788428945,-87.598840247,Maple-Japanese,Acer palmatum,Small,2 in.,Semi-mature,4 ft.,$63.08,,,
1095,258474,548931,41.78841288,-87.598807781,Dogwood-Corneliancherry,Cornus mas,Small,2 in.,Young,4 ft.,$100.93,,,
1096,258475,548931,41.788259993,-87.598713008,Burning Bush,Euonymus alatus,Small,"1.6 in., 1.5 in., 1.5 in., 1.5 in., 1 in., 1 in.",Young,4 ft.,$249.71,,,
1097,258476,548931,41.788318657,-87.598821665,Maple-Japanese,Acer palmatum,Small,2.3 in.,Young,4 ft.,$83.43,,,
1098,258477,478ba3,41.790427019,-87.598189116,Lilac-Japanese Tree,,Small,"3.5 in., 3.2 in., 2.6 in., 2.5 in., 2.2 in., 2 in.",Semi-mature,8 ft.,"$2,936.94",Syringa reticulata,,
1099,258478,478ba3,41.790459568,-87.598577681,Serviceberry,Amelanchier sp,Small,"3.2 in., 2.2 in., 2.1 in., 1.8 in., 1.8 in.",Semi-mature,8 ft.,$573.39,,,
1100,258479,478ba3,41.790454801,-87.598605871,Redbud-Eastern,Cercis canadensis,Small,"2.8 in., 2.2 in., 2.2 in., 1 in., 1 in.",Semi-mature,8 ft.,$430.98,,,
1401,258480,478ba3,41.787868788,-87.59542209,Elm,Ulmus sp,Medium,6.2 in.,Semi-mature,6 ft.,$848.71,,,
1402,258481,478ba3,41.787881652,-87.595301174,Elm,Ulmus sp,Medium,5.8 in.,Semi-mature,6 ft.,$742.73,,,
1403,258482,478ba3,41.78786845,-87.595247415,Serviceberry,Amelanchier sp,Medium,5.5 in.,Semi-mature,6 ft.,$667.89,,,
1404,258483,478ba3,41.787879157,-87.595162822,Ash-Green,Fraxinus pennsylvanica,Medium,12 in.,Semi-mature,10 ft.,"$2,270.97",,,
1405,258484,478ba3,41.787885837,-87.595021483,Ash-Green,Fraxinus pennsylvanica,Medium,11.2 in.,Semi-mature,15 ft.,"$1,978.27",,,
1406,258485,478ba3,41.787877908,-87.594921016,Ash-Green,Fraxinus pennsylvanica,Medium,11.8 in.,Semi-mature,15 ft.,"$2,195.91",,,
1407,258486,478ba3,41.787920234,-87.5948162,Elm,Ulmus sp,Medium,13.5 in.,Semi-mature,15 ft.,"$4,023.88",,,
1408,258487,478ba3,41.788178836,-87.594843381,Elm,Ulmus sp,Medium,12.8 in.,Semi-mature,15 ft.,"$3,617.41",,,
1409,258488,478ba3,41.788357959,-87.594846972,Elm,Ulmus sp,Medium,13.2 in.,Semi-mature,10 ft.,"$3,847.03",,,
1410,258489,478ba3,41.788407859,-87.594852647,Elm,Ulmus sp,Medium,12.2 in.,Semi-mature,10 ft.,"$3,286.22",,,
1411,258490,478ba3,41.789571757,-87.594962274,Ginkgo,Ginkgo biloba,Medium,8.2 in.,Semi-mature,10 ft.,"$1,484.59",,,
1412,258491,478ba3,41.78958668,-87.595071267,Ginkgo,Ginkgo biloba,Medium,7.2 in.,Semi-mature,10 ft.,"$1,144.57",,,
1413,258492,478ba3,41.789583625,-87.59515167,Ginkgo,Ginkgo biloba,Medium,5.2 in.,Semi-mature,10 ft.,$597.01,,,
1414,258493,478ba3,41.789582823,-87.595226086,Ginkgo,Ginkgo biloba,Medium,5.2 in.,Semi-mature,10 ft.,$597.01,,,
1415,258494,478ba3,41.789575673,-87.59531619,Ginkgo,Ginkgo biloba,Medium,7 in.,Semi-mature,10 ft.,"$1,081.87",,,
1416,258495,478ba3,41.789587212,-87.595409175,Ginkgo,Ginkgo biloba,Medium,4 in.,Semi-mature,6 ft.,$353.26,,,
1417,258496,478ba3,41.789578088,-87.595500015,Ginkgo,Ginkgo biloba,Medium,3.9 in.,Semi-mature,6 ft.,$335.82,,,
1418,258497,478ba3,41.789589956,-87.595587292,Ginkgo,Ginkgo biloba,Medium,4.7 in.,Semi-mature,6 ft.,$487.72,,,
1419,258498,478ba3,41.78956902,-87.595680976,Ginkgo,Ginkgo biloba,Medium,7.3 in.,Semi-mature,8 ft.,"$1,176.59",,,
1420,258499,478ba3,41.78957493,-87.595755266,Ginkgo,Ginkgo biloba,Medium,6 in.,Semi-mature,6 ft.,$794.84,,,
1421,258500,478ba3,41.789577771,-87.59583967,Ginkgo,Ginkgo biloba,Medium,5.8 in.,Semi-mature,8 ft.,$742.73,,,
1422,258501,478ba3,41.789573053,-87.595895543,Ginkgo,Ginkgo biloba,Medium,7.7 in.,Semi-mature,8 ft.,"$1,309.06",,,
1423,258502,478ba3,41.789564686,-87.595989745,Ginkgo,Ginkgo biloba,Medium,4.5 in.,Semi-mature,6 ft.,$447.10,,,
1426,258503,014368,41.789489632,-87.596219618,Katsuratree,Cercidiphyllum japonicum,Medium,12.2 in.,Mature,10 ft.,"$3,286.22",,,
1427,258504,478ba3,41.788701038,-87.595932144,Serviceberry,Amelanchier sp,Small,3.2 in.,Semi-mature,4 ft.,$226.09,,,
1428,258505,478ba3,41.788665483,-87.595931811,Serviceberry,Amelanchier sp,Small,4.4 in.,Semi-mature,6 ft.,$427.45,,,
1429,258506,478ba3,41.788637833,-87.595937356,Serviceberry,Amelanchier sp,Small,4.2 in.,Semi-mature,6 ft.,$389.47,,,
1430,258507,478ba3,41.788607592,-87.595913171,Serviceberry,Amelanchier sp,Small,4.4 in.,Semi-mature,4 ft.,$427.45,,,
1431,258508,478ba3,41.788613483,-87.595879855,Serviceberry,Amelanchier sp,Small,4.5 in.,Semi-mature,6 ft.,$447.10,,,
1432,258509,478ba3,41.788608551,-87.595832825,Serviceberry,Amelanchier sp,Small,4.3 in.,Semi-mature,6 ft.,$408.24,,,
1439,258510,014368,41.78849411,-87.595489502,Hawthorn,Crataegus sp,Medium,"5.8 in., 2.2 in.",Mature,15 ft.,$606.85,,,
1440,258511,014368,41.78849411,-87.595657349,Hawthorn,Crataegus sp,Medium,"6.3 in., 4.3 in.",Mature,15 ft.,$917.54,,,
1441,258512,548931,41.788517094,-87.595827437,Ginkgo,Ginkgo biloba,Small,3 in.,Young,4 ft.,$198.71,,,
1442,258513,548931,41.788530682,-87.595935448,Redbud-Eastern,Cercis canadensis,Small,"3.2 in., 3.1 in., 3 in.",Young,6 ft.,$636.98,,,
1443,258514,014368,41.788394207,-87.596051162,Dogwood-Corneliancherry,Cornus mas,Medium,"5.3 in., 5.1 in.",Mature,10 ft.,"$1,365.11",,,
1444,258515,014368,41.788451487,-87.596119119,Honeylocust-Common,Gleditsia triacanthos,Large,26 in.,Mature,25 ft.,"$17,057.53",,,
1445,258516,014368,41.788433133,-87.596125132,Maple-Norway,Acer platanoides,Large,21.4 in.,Mature,25 ft.,"$6,190.57",,,
1446,258517,014368,41.788328088,-87.596092932,Elm-American,,Large,42 in.,Mature,40 ft.,"$9,905.66",Ulmus americana,,
1447,258518,014368,41.788146362,-87.596081906,Elm-American,,Large,37.8 in.,Mature,40 ft.,"$8,468.97",Ulmus americana,,
1448,258519,014368,41.788030188,-87.596123806,Honeylocust-Common,Gleditsia triacanthos,Large,31.9 in.,Mature,30 ft.,"$25,161.38",,,
1449,258520,014368,41.787901894,-87.595736753,Viburnum,Viburnum sp,Medium,"3.8 in., 3.1 in., 1.7 in.",Mature,10 ft.,$455.21,,,
1450,258521,548931,41.787939095,-87.595425612,Hawthorn,Crataegus sp,Small,1.5 in.,Young,2 ft.,$35.48,,,
1451,258522,478ba3,41.787966445,-87.594932479,Elm,Ulmus sp,Medium,15.9 in.,Semi-mature,10 ft.,"$5,581.77",,,
1452,258523,478ba3,41.788306783,-87.59535547,Ginkgo,Ginkgo biloba,Medium,5.8 in.,Semi-mature,6 ft.,$742.73,,,
1453,258524,478ba3,41.788286749,-87.595394061,Ginkgo,Ginkgo biloba,Medium,7.5 in.,Semi-mature,6 ft.,"$1,241.94",,,
1454,258525,478ba3,41.788311005,-87.595321655,Ginkgo,Ginkgo biloba,Medium,7 in.,Semi-mature,8 ft.,"$1,081.87",,,
1455,258526,478ba3,41.788330357,-87.595244903,Crabapple,Malus sp,Medium,7.2 in.,Semi-mature,8 ft.,"$1,144.57",,,
1456,258527,478ba3,41.788596938,-87.594968019,Elm,Ulmus sp,Medium,12.9 in.,Semi-mature,15 ft.,"$3,674.15",,,
1457,258528,478ba3,41.788649753,-87.594953304,Elm,Ulmus sp,Medium,12 in.,Semi-mature,15 ft.,"$3,179.36",,,
1458,258529,478ba3,41.788688185,-87.594959466,Elm,Ulmus sp,Medium,15.2 in.,Semi-mature,15 ft.,"$5,101.11",,,
1459,258530,478ba3,41.788790007,-87.594954895,Elm,Ulmus sp,Medium,15 in.,Semi-mature,15 ft.,"$4,967.75",,,
1460,258531,478ba3,41.788827131,-87.594955448,Elm,Ulmus sp,Medium,11.2 in.,Semi-mature,15 ft.,"$2,769.58",,,
1461,258532,478ba3,41.78890904,-87.59496208,Elm,Ulmus sp,Medium,11.3 in.,Semi-mature,10 ft.,"$2,819.26",,,
1462,258533,478ba3,41.789008857,-87.594931633,Elm,Ulmus sp,Medium,12 in.,Semi-mature,15 ft.,"$3,179.36",,,
1463,258534,478ba3,41.789050034,-87.59497198,Elm,Ulmus sp,Medium,11.8 in.,Semi-mature,15 ft.,"$3,074.27",,,
1464,258535,478ba3,41.789112046,-87.594988537,Elm,Ulmus sp,Medium,14.8 in.,Semi-mature,15 ft.,"$4,836.16",,,
1465,258536,478ba3,41.789212539,-87.594936902,Elm,Ulmus sp,Medium,11.5 in.,Semi-mature,15 ft.,"$2,919.94",,,
1466,258537,478ba3,41.789248575,-87.594980426,Elm,Ulmus sp,Medium,12.2 in.,Semi-mature,15 ft.,"$3,286.22",,,
1467,258538,478ba3,41.789361146,-87.594984291,Elm,Ulmus sp,Medium,9.9 in.,Semi-mature,15 ft.,"$2,163.95",,,
1468,258539,478ba3,41.789405708,-87.594981087,Elm,Ulmus sp,Medium,13 in.,Semi-mature,15 ft.,"$3,731.34",,,
1469,258540,478ba3,41.789474108,-87.594945483,Elm,Ulmus sp,Medium,7.3 in.,Semi-mature,10 ft.,"$1,176.59",,,
1470,258541,478ba3,41.789536052,-87.594950373,Elm,Ulmus sp,Medium,13.5 in.,Semi-mature,10 ft.,"$4,023.88",,,
1926,258542,014368,41.791603712,-87.599475954,Arborvitae-Eastern,,Medium,"5.5 in., 5.2 in.",Mature,6 ft.,"$1,445.60",Thuja occidentalis,,
