treeid,featureid,icon,lat,lon,Common name,Scientific name,Height class,Diameter at breast height,Age class,Canopy radius,Tree Asset Value, Scientific name,Additional taxonomy,Tree information
1425,258354,478ba3,41.789576619,-87.596163752,Ginkgo,Ginkgo biloba,Medium,7.2 in.,Semi-mature,10 ft.,"$1,144.57",,,
1424,258355,478ba3,41.789572215,-87.596083026,Ginkgo,Ginkgo biloba,Medium,6.2 in.,Semi-mature,8 ft.,$848.71,,,
1438,258356,478ba3,41.788697862,-87.595890027,Serviceberry,Amelanchier sp,Small,4 in.,Semi-mature,6 ft.,$353.26,,,
1437,258357,478ba3,41.788692474,-87.595863342,Serviceberry,Amelanchier sp,Small,4.2 in.,Semi-mature,6 ft.,$389.47,,,
1436,258358,478ba3,41.788696289,-87.595840454,Serviceberry,Amelanchier sp,Small,4.8 in.,Semi-mature,6 ft.,$508.70,,,
1435,258359,548931,41.788657347,-87.595794351,Serviceberry,Amelanchier sp,Small,2.2 in.,Young,6 ft.,$106.86,,,
1434,258360,478ba3,41.788684845,-87.595802307,Serviceberry,Amelanchier sp,Small,4 in.,Semi-mature,6 ft.,$353.26,,,
1433,258361,478ba3,41.788616947,-87.595792736,Serviceberry,Amelanchier sp,Small,4.2 in.,Semi-mature,6 ft.,$389.47,,,
1501,258362,478ba3,41.787886875,-87.593720468,Ash-Green,Fraxinus pennsylvanica,Medium,8.8 in.,Semi-mature,15 ft.,$872.34,,,
1502,258363,478ba3,41.787891376,-87.593595584,Ash-Green,Fraxinus pennsylvanica,Medium,8.4 in.,Semi-mature,10 ft.,$794.84,,,
1503,258364,478ba3,41.787885189,-87.593473856,Ash-Green,Fraxinus pennsylvanica,Medium,8.8 in.,Semi-mature,15 ft.,$872.34,,,
1504,258365,478ba3,41.787935413,-87.593730618,Crabapple,Malus sp,Small,"2.2 in., 2.1 in., 2 in., 2 in., 1.8 in.",Semi-mature,6 ft.,$323.14,,,
1505,258366,478ba3,41.787924528,-87.593655753,Magnolia-Saucer,,Small,"0.8 in., 0.6 in., 0.4 in., 0.4 in., 0.3 in.",Semi-mature,4 ft.,$19.06,Magnolia x soulangiana,,
1506,258367,478ba3,41.787953767,-87.593559584,Cherry,Prunus sp,Medium,8.6 in.,Semi-mature,10 ft.,"$1,166.40",,,
1507,258368,478ba3,41.78795363,-87.593489212,Redwood-Dawn,,Medium,6.8 in.,Semi-mature,10 ft.,$312.53,Metasequoia glyptostroboides,,
974,258369,548931,41.789225336,-87.599891832,Oak-Shingle,,Medium,8.5 in.,Young,15 ft.,"$1,595.20",Quercus imbricaria,,
975,258370,014368,41.789339913,-87.600050165,Oak-Swamp White,Quercus bicolor,Medium,20.5 in.,Mature,25 ft.,"$10,604.19",,,
976,258371,014368,41.789387348,-87.60000423,Oak-White,,Medium,14.7 in.,Mature,15 ft.,"$4,381.56",Quercus alba,,
977,258372,014368,41.789452669,-87.600139402,Oak-Bur,,Medium,21.5 in.,Mature,30 ft.,"$10,205.98",Quercus macrocarpa,,
978,258373,548931,41.789497829,-87.600124403,Oak-Swamp White,Quercus bicolor,Small,6.9 in.,Young,10 ft.,"$1,201.35",,,
979,258374,014368,41.789438356,-87.600203811,Oak-Bur,,Medium,21.8 in.,Mature,30 ft.,"$10,492.78",Quercus macrocarpa,,
980,258375,014368,41.789476684,-87.600211428,Oak-Bur,,Medium,23.9 in.,Mature,30 ft.,"$9,008.35",Quercus macrocarpa,,
981,258376,014368,41.789693096,-87.600127347,Hackberry,Celtis occidentalis,Medium,29 in.,Mature,35 ft.,"$21,220.99",,,
982,258377,014368,41.789785287,-87.599982131,Maple-Norway,Acer platanoides,Medium,17.1 in.,Mature,15 ft.,"$3,952.71",,,
983,258378,014368,41.789736707,-87.60014555,Oak-Bur,,Medium,19.6 in.,Mature,15 ft.,"$8,481.83",Quercus macrocarpa,,
